Symbol,1W Change %,1M Change %,3M Change %,6M Change %,1Y Change %,5Y Change %,Name,Category
FTPAX,,,,,,11.21,First Trust Private Assets Fund,MF Gainers
GRHIX,5.37,10.56,11.44,2.86,0.12,221.84,Goehring & Rozencwajg Resources Instl,MF Gainers
GRHAX,5.29,10.47,11.26,2.63,-0.21,216.34,Goehring & Rozencwajg Resources Retail,MF Gainers
PMPIX,9.44,-0.77,30.33,50.64,57.56,25.52,ProFunds Precious Metals UltraSector Inv,MF Gainers
PMPSX,9.43,-0.85,30.02,49.92,56.04,19.45,ProFunds Precious Metals UltraSector Svc,MF Gainers
0P00011WC1,,2.4,10.5,5.25,13.13,10.88,Kieger Fd I Global Real Assets AP1 USD,MF Gainers
OCMAX,8.51,6.3,28.4,43.01,61.95,88.16,OCM Gold Atlas,MF Gainers
FGPMX,8.28,5.08,31.97,49.25,62.62,93.71,Franklin Gold and Precious Metals R6,MF Gainers
OCMGX,8.51,6.28,28.15,42.6,60.98,82.64,OCM Gold Investor,MF Gainers
FKRCX,8.27,5.03,31.83,48.97,62.08,90.26,Franklin Gold and Precious Metals A,MF Gainers
FRGOX,8.26,4.97,31.61,48.44,60.92,83.28,Franklin Gold and Precious Metals C,MF Gainers
FGADX,8.24,5.03,31.89,49.16,62.44,92.63,Franklin Gold and Precious Metals Adv,MF Gainers
GOLDX,9.26,3.59,28.2,41.77,56.97,62.89,Gabelli Gold AAA,MF Gainers
INIIX,7.31,3.03,27.09,42.75,57.05,70.75,VanEck International Investors Gold I,MF Gainers
GLDAX,9.29,3.59,28.14,41.76,56.93,62.88,Gabelli Gold A,MF Gainers
GLDIX,9.27,3.6,28.23,41.94,57.33,64.9,Gabelli Gold I,MF Gainers
GLDCX,9.26,3.52,27.9,41.25,55.82,56.9,Gabelli Gold C,MF Gainers
IIGCX,7.29,2.93,26.73,41.78,55.13,60.85,VanEck International Investors Gold C,MF Gainers
INIYX,7.31,3.01,27.05,42.53,56.73,69.69,VanEck International Investors Gold Y,MF Gainers
INIVX,7.25,2.93,26.94,42.25,56.28,67.2,VanEck International Investors Gold A,MF Gainers
UIPMX,7.67,2.63,25.55,41.77,53.05,58.36,Victory Precious Metals and Minerals Fund,MF Gainers
UPMMX,7.67,2.63,25.43,41.56,52.54,55.75,Victory Precious Metals and Minerals Fund,MF Gainers
USAGX,7.66,2.62,25.49,41.7,52.93,57.15,Victory Precious Metals and Minerals Fund,MF Gainers
EKWYX,7.48,3.23,27.09,43.27,63.89,77.47,Allspring Precious Metals Fund,MF Gainers
EKWAX,7.48,3.2,26.99,43.05,63.41,74.82,Allspring Precious Metals Fund,MF Gainers
EKWDX,7.47,3.2,27.04,43.13,63.61,76.02,Allspring Precious Metals Fund,MF Gainers
EKWCX,7.46,3.12,26.75,42.5,62.14,68.22,Allspring Precious Metals Fund,MF Gainers
UNWPX,5.43,2.11,12.79,28.48,22.01,10.61,U.S. Global Investors World Precious Minerals Fund,MF Gainers
USERX,6.93,5.01,27.19,38.38,48.4,74.89,U.S. Global Investors Gold & Precious Metals Fund,MF Gainers
FIJDX,8.55,1.43,24.92,41.0,52.78,44.81,Fidelity Advisor Gold Z,MF Gainers
FGDTX,8.53,1.38,24.73,40.56,51.85,39.91,Fidelity Advisor Gold M,MF Gainers
IOGYX,6.99,5.38,24.93,32.05,44.61,72.71,Invesco Gold & Special Minerals R5,MF Gainers
FGDAX,8.52,1.4,24.75,40.7,52.25,41.78,Fidelity Advisor Gold A,MF Gainers
AGGWX,7.29,2.77,26.58,40.85,50.31,50.92,American Century Global Gold R,MF Gainers
FSAGX,8.54,1.43,24.87,40.95,52.69,43.92,Fidelity Select Gold,MF Gainers
AGYCX,7.25,2.72,26.37,40.46,49.55,47.17,American Century Global Gold C,MF Gainers
FGDIX,8.54,1.4,24.86,40.92,52.59,43.86,Fidelity Advisor Gold I,MF Gainers
OGMNX,7.0,5.32,24.79,31.74,43.83,67.69,Invesco Gold & Special Minerals R,MF Gainers
OPGSX,6.96,5.31,24.79,31.86,44.12,69.73,Invesco Gold & Special Minerals A,MF Gainers
FGDCX,8.53,1.34,24.52,40.22,51.1,36.81,Fidelity Advisor Gold C,MF Gainers
MIDSX,9.14,6.84,37.16,57.36,72.03,37.16,Midas Discovery,MF Gainers
OGMIX,6.98,5.36,24.93,32.07,44.66,73.15,Invesco Gold & Special Minerals R6,MF Gainers
OGMYX,7.0,5.35,24.92,32.02,44.49,71.83,Invesco Gold & Special Minerals Y,MF Gainers
OGMCX,6.96,5.27,24.59,31.37,43.06,63.46,Invesco Gold & Special Minerals C,MF Gainers
AGGNX,7.33,2.8,26.77,41.34,51.29,56.34,American Century Global Gold I,MF Gainers
ACGGX,7.31,2.79,26.67,40.94,50.56,52.79,American Century Global Gold A,MF Gainers
BGEIX,7.31,2.78,26.71,41.11,50.92,54.78,American Century Global Gold Fund,MF Gainers
0P00017HXX,,-1.2,-6.11,-3.15,-2.68,18.38,Kieger Fd I Healthcare Blue Chip A1 USD,MF Gainers
BGALX,0.0,0.0,-8.01,-8.38,-1.98,10.84,Baillie Gifford Global Alpha Equities Fund,MF Gainers
0P0001SUBL,0.5,14.42,0.85,1.07,4.62,5.35,"US Next Technology Fund A"",",MF Gainers
0P0001SUBK,0.5,14.42,0.91,0.39,4.54,5.27,"US Next Technology Fund G"",",MF Gainers
0P0001NY2U,3.83,18.62,18.26,13.75,58.78,204.83,Fidelity Advantage Bitcoin ETF - F,MF Gainers
0P0001NY2W,3.83,18.58,18.1,13.44,57.9,122.56,Fidelity Advantage Bitcoin ETF - B,MF Gainers
0P0001NY2V,3.83,18.64,18.28,13.79,58.92,127.7,Fidelity Advantage Bitcoin ETF - O,MF Gainers
SGDIX,8.29,5.68,26.36,35.54,51.33,63.63,Sprott Gold Equity Institutional,MF Gainers
0P0001NOFB,3.89,18.79,18.31,17.11,60.37,77.53,Purpose Bitcoin ETF Non-Hedged Cl I,MF Gainers
0P0001NOFA,3.88,18.69,17.99,16.51,58.74,203.37,Purpose Bitcoin ETF Non-Hedged Cl F,MF Gainers
0P0001NOF9,3.88,18.59,17.7,15.92,57.01,63.73,Purpose Bitcoin ETF Non-Hedged Cl A,MF Gainers
SGDLX,8.29,5.66,26.29,35.35,50.92,61.32,Sprott Gold Equity Investor,MF Gainers
RYPMX,5.92,1.08,20.33,28.0,32.12,38.86,Rydex Precious Metals Inv,MF Gainers
0P00011WBK,,1.24,7.91,15.78,22.18,61.19,Kieger Fd I Global Commodities AP1 USD,MF Gainers
RYMPX,5.91,1.05,20.25,27.85,31.79,37.5,Rydex Precious Metals H,MF Gainers
RYMNX,5.92,1.05,20.24,27.86,31.78,29.22,Rydex Precious Metals A,MF Gainers
RYZCX,5.9,0.99,20.02,27.38,30.79,24.88,Rydex Precious Metals C,MF Gainers
VYSCX,,,,,,,Voya Small Company P3,MF Gainers
FEGOX,5.99,0.74,19.47,33.42,43.17,61.66,First Eagle Gold C,MF Gainers
FEGIX,6.01,0.83,19.72,34.06,44.59,69.82,First Eagle Gold I,MF Gainers
SGGDX,6.02,0.81,19.67,33.89,44.25,67.69,First Eagle Gold A,MF Gainers
FEURX,5.99,0.83,19.76,34.1,44.69,70.61,First Eagle Gold R6,MF Gainers
EPGIX,5.87,1.59,18.5,26.85,29.66,38.67,EuroPac Gold Fund,MF Gainers
EPGFX,5.85,1.52,18.41,26.76,29.36,36.97,EuroPac Gold Fund,MF Gainers
QGLDX,3.87,0.39,13.12,26.38,40.44,69.15,Gold Bullion Strategy Investor,MF Gainers
0P0000YUAL,3.9,0.39,13.02,25.95,40.0,69.48,Gold Bullion Strategy,MF Gainers
QGLCX,3.86,0.36,12.94,25.98,39.57,64.14,Gold Bullion Strategy Advisor,MF Gainers
0P0001M32M,3.87,18.59,17.58,16.64,59.06,204.23,CI Bitcoin Series F,MF Gainers
PSPFX,3.6,6.05,9.51,2.13,3.14,58.76,US Global Investors Global Res,MF Gainers
MOWNX,2.12,8.11,6.41,9.46,15.5,182.0,Moerus Worldwide Value N,MF Gainers
0P0001JA5V,-0.17,0.78,10.65,-1.97,1.65,46.7,Multipartner Tata India Equity D USD Acc,MF Gainers
0P0001J2MW,-0.17,0.74,10.52,-2.21,1.15,44.36,Multipartner Tata India Equity C USD Acc,MF Gainers
MOWIX,2.17,8.14,6.51,9.64,15.8,185.36,Moerus Worldwide Value Institutional,MF Gainers
0P0001P1R7,-0.16,0.81,10.76,-1.76,2.11,41.78,Multipartner Tata India Equity R USD Acc,MF Gainers
0P0001J2MV,-0.18,0.7,10.37,-2.47,0.6,41.84,Multipartner Tata India Equity B USD Acc,MF Gainers
RYVTX,5.25,-15.72,-4.92,-14.96,-30.02,-89.66,Rydex Inverse NASDAQ-100 2x Strategy A,MF Gainers
RYVNX,5.24,-15.71,-4.85,-14.84,-30.09,-90.11,Rydex Inverse NASDAQ-100 2x Strategy H,MF Gainers
RYCDX,5.23,-15.77,-5.09,-16.41,-31.52,-90.66,Rydex Inverse NASDAQ-100 2x Strategy C,MF Gainers
0P000198KS,0.21,4.85,17.23,-5.08,2.69,160.76,Aditya BSL India Qul Adv D$Acc,MF Gainers
0P0001OUSR,0.21,4.84,17.19,-5.15,2.36,14.02,Aditya BSL India Quality Advant,MF Gainers
0P0001BRS2,0.2,4.79,17.01,-5.44,1.92,150.76,Aditya BSL India Qul Adv A$Acc,MF Gainers
0P0001OTZD,0.2,4.72,16.8,-5.78,1.21,44.43,Aditya BSL India Qul Adv B$Acc,MF Gainers
0P0001CLPO,,6.6,10.87,17.19,23.82,67.04,Orbis SICAV Intl Eq Inv,MF Gainers
DTMGX,0.0,0.0,-17.64,-17.75,-12.5,50.13,"BNY Mellon Investment Funds IV, Inc. - BNY Mellon Concentrated Growth ETF",MF Gainers
MIDNX,-0.5,0.35,9.63,-3.26,1.13,133.64,Matthews India Instl,MF Gainers
DPTAX,0.0,0.0,-19.53,-19.7,-14.84,41.8,"BNY Mellon Investment Funds IV, Inc. - BNY Mellon Concentrated Growth ETF",MF Gainers
USPSX,5.2,-15.76,-5.04,-9.94,-26.49,-50.6,ProFunds UltraShort NASDAQ-100 Fund,MF Gainers
0P0000RS9F,-0.07,3.79,11.93,-0.35,-0.43,115.45,SIIP India Opportunities A USD Acc,MF Gainers
0P0000UAHT,-0.05,3.92,12.34,0.28,0.9,134.57,SIIP India Opportunities E USD Acc,MF Gainers
0P0000RS9H,-0.06,3.85,12.13,0.02,0.32,123.66,SIIP India Opportunities C USD Acc,MF Gainers
MINDX,-0.52,0.36,9.56,-3.33,1.02,132.12,Matthews India Investor,MF Gainers
USPIX,5.19,-15.73,-4.86,-9.25,-25.57,-47.75,ProFunds UltraShort NASDAQ-100 Fund,MF Gainers
